codPostalOcurrencia,año,mes,cant_codpostal
01038000,2022.0,7,8
01038000,2022.0,8,7
01038000,2022.0,9,3
01038000,2022.0,10,5
01038000,2022.0,11,6
01038000,2022.0,12,4
01038000,2023.0,1,2
01038000,2023.0,2,4
01038000,2023.0,3,8
01038000,2023.0,4,2
01039000,2022.0,1,82
01039000,2022.0,2,6
01039000,2022.0,3,4
01039000,2022.0,4,3
01039000,2022.0,5,5
01039000,2022.0,6,6
01039000,2022.0,7,5
01039000,2022.0,8,1
01039000,2022.0,9,5
01039000,2022.0,10,5
01039000,2022.0,11,6
01039000,2022.0,12,2
01039000,2023.0,1,2
01039000,2023.0,2,1
01039000,2023.0,3,5
01040000,2022.0,1,9
01040000,2022.0,2,4
01040000,2022.0,3,3
01040000,2022.0,4,1
01040000,2022.0,5,7
01040000,2022.0,6,2
01040000,2022.0,7,1
01040000,2022.0,8,1
01040000,2022.0,9,4
01040000,2022.0,10,3
01040000,2022.0,11,2
01040000,2022.0,12,1
01040000,2023.0,2,2
01040000,2023.0,3,4
01041000,2022.0,1,5
01041000,2022.0,2,5
01041000,2022.0,3,7
01041000,2022.0,4,8
01041000,2022.0,5,10
01041000,2022.0,6,11
01041000,2022.0,7,3
01041000,2022.0,8,6
01041000,2022.0,9,6
01041000,2022.0,10,8
01041000,2022.0,11,11
01041000,2022.0,12,8
01041000,2023.0,1,4
01041000,2023.0,2,5
01041000,2023.0,3,18
01041000,2023.0,4,2
01042000,2022.0,1,4
01042000,2022.0,2,2
01042000,2022.0,3,7
01042000,2022.0,4,5
01042000,2022.0,5,18
01042000,2022.0,6,5
01042000,2022.0,7,18
01042000,2022.0,8,7
01042000,2022.0,9,6
01042000,2022.0,11,8
01042000,2022.0,12,9
01042000,2023.0,1,10
01042000,2023.0,2,11
01042000,2023.0,3,12
01042000,2023.0,4,7
01043000,2022.0,1,16
01043000,2022.0,2,16
01043000,2022.0,3,20
01043000,2022.0,4,16
01043000,2022.0,5,15
01043000,2022.0,6,16
01043000,2022.0,7,15
01043000,2022.0,8,18
01043000,2022.0,9,25
01043000,2022.0,10,23
01043000,2022.0,11,33
01043000,2022.0,12,53
01043000,2023.0,1,21
01043000,2023.0,2,18
01043000,2023.0,3,27
01043000,2023.0,4,16
01044000,2022.0,1,1
01044000,2022.0,3,1
